"","letter","cause.numeric","cause.group","cause.sub"
"672","Y",840,"Unintentional","Complications of medical and surgical care"
"673","Y",841,"Unintentional","Complications of medical and surgical care"
"281","V",842,"Unintentional","Transport accidents"
"674","Y",842,"Unintentional","Complications of medical and surgical care"
"282","V",843,"Unintentional","Transport accidents"
"283","V",844,"Unintentional","Transport accidents"
"675","Y",844,"Unintentional","Complications of medical and surgical care"
"284","V",845,"Unintentional","Transport accidents"
"676","Y",845,"Unintentional","Complications of medical and surgical care"
"285","V",846,"Unintentional","Transport accidents"
"677","Y",846,"Unintentional","Complications of medical and surgical care"
"286","V",847,"Unintentional","Transport accidents"
"678","Y",847,"Unintentional","Complications of medical and surgical care"
"679","Y",848,"Unintentional","Complications of medical and surgical care"
"287","V",849,"Unintentional","Transport accidents"
"680","Y",849,"Unintentional","Complications of medical and surgical care"
"288","V",850,"Unintentional","Transport accidents"
"441","W",850,"Unintentional","Other external causes of accidental injury"
"681","Y",850,"Unintentional","Sequelae of external causes of morbidity and mortality"
"289","V",852,"Unintentional","Transport accidents"
"290","V",853,"Unintentional","Transport accidents"
"291","V",855,"Unintentional","Transport accidents"
"292","V",857,"Unintentional","Transport accidents"
"293","V",859,"Unintentional","Transport accidents"
"682","Y",859,"Unintentional","Sequelae of external causes of morbidity and mortality"
"294","V",860,"Unintentional","Transport accidents"
"442","W",860,"Unintentional","Other external causes of accidental injury"
"683","Y",860,"Unintentional","Sequelae of external causes of morbidity and mortality"
"295","V",861,"Unintentional","Transport accidents"
"296","V",862,"Unintentional","Transport accidents"
"297","V",863,"Unintentional","Transport accidents"
"298","V",865,"Unintentional","Transport accidents"
"299","V",866,"Unintentional","Transport accidents"
"300","V",867,"Unintentional","Transport accidents"
"301","V",869,"Unintentional","Transport accidents"
"302","V",870,"Unintentional","Transport accidents"
"443","W",870,"Unintentional","Other external causes of accidental injury"
"303","V",871,"Unintentional","Transport accidents"
"304","V",872,"Unintentional","Transport accidents"
"305","V",873,"Unintentional","Transport accidents"
"306","V",874,"Unintentional","Transport accidents"
"307","V",875,"Unintentional","Transport accidents"
"308","V",876,"Unintentional","Transport accidents"
"309","V",877,"Unintentional","Transport accidents"
"310","V",878,"Unintentional","Transport accidents"
"311","V",879,"Unintentional","Transport accidents"
"687","Y",880,"Unintentional","Sequelae of external causes of morbidity and mortality"
"688","Y",881,"Unintentional","Sequelae of external causes of morbidity and mortality"
"689","Y",883,"Unintentional","Sequelae of external causes of morbidity and mortality"
"312","V",884,"Unintentional","Transport accidents"
"313","V",886,"Unintentional","Transport accidents"
"314","V",887,"Unintentional","Transport accidents"
"315","V",888,"Unintentional","Transport accidents"
"316","V",889,"Unintentional","Transport accidents"
"317","V",890,"Unintentional","Transport accidents"
"318","V",891,"Unintentional","Transport accidents"
"319","V",892,"Unintentional","Transport accidents"
"320","V",893,"Unintentional","Transport accidents"
"321","V",899,"Unintentional","Transport accidents"
"322","V",901,"Unintentional","Transport accidents"
"323","V",902,"Unintentional","Transport accidents"
"324","V",903,"Unintentional","Transport accidents"
"325","V",904,"Unintentional","Transport accidents"
"326","V",905,"Unintentional","Transport accidents"
"327","V",906,"Unintentional","Transport accidents"
"328","V",907,"Unintentional","Transport accidents"
"329","V",908,"Unintentional","Transport accidents"
"330","V",909,"Unintentional","Transport accidents"
"331","V",910,"Unintentional","Transport accidents"
"332","V",913,"Unintentional","Transport accidents"
"333","V",915,"Unintentional","Transport accidents"
"334","V",918,"Unintentional","Transport accidents"
"335","V",919,"Unintentional","Transport accidents"
"444","W",920,"Unintentional","Other external causes of accidental injury"
"336","V",921,"Unintentional","Transport accidents"
"337","V",922,"Unintentional","Transport accidents"
"338","V",923,"Unintentional","Transport accidents"
"339","V",924,"Unintentional","Transport accidents"
"340","V",925,"Unintentional","Transport accidents"
"341","V",926,"Unintentional","Transport accidents"
"342","V",927,"Unintentional","Transport accidents"
"343","V",928,"Unintentional","Transport accidents"
"344","V",929,"Unintentional","Transport accidents"
"345","V",930,"Unintentional","Transport accidents"
"445","W",930,"Unintentional","Other external causes of accidental injury"
"346","V",933,"Unintentional","Transport accidents"
"347","V",934,"Unintentional","Transport accidents"
"348","V",939,"Unintentional","Transport accidents"
"446","W",940,"Unintentional","Other external causes of accidental injury"
"349","V",943,"Unintentional","Transport accidents"
"350","V",945,"Unintentional","Transport accidents"
"351","V",946,"Unintentional","Transport accidents"
"352","V",947,"Unintentional","Transport accidents"
"353","V",948,"Unintentional","Transport accidents"
"354","V",949,"Unintentional","Transport accidents"
"355","V",950,"Unintentional","Transport accidents"
"356","V",951,"Unintentional","Transport accidents"
"357","V",952,"Unintentional","Transport accidents"
"358","V",953,"Unintentional","Transport accidents"
"359","V",958,"Unintentional","Transport accidents"
"360","V",959,"Unintentional","Transport accidents"
"361","V",960,"Unintentional","Transport accidents"
"362","V",961,"Unintentional","Transport accidents"
"363","V",968,"Unintentional","Transport accidents"
"364","V",969,"Unintentional","Transport accidents"
"365","V",970,"Unintentional","Transport accidents"
"366","V",971,"Unintentional","Transport accidents"
"367","V",972,"Unintentional","Transport accidents"
"368","V",973,"Unintentional","Transport accidents"
"369","V",980,"Unintentional","Transport accidents"
"370","V",990,"Unintentional","Transport accidents"
"447","W",990,"Unintentional","Other external causes of accidental injury"
"1227","Y",61,"Intentional","Assault"
"1232","Y",73,"Intentional","Assault"
"1262","Y",352,"Intentional","Legal intervention and operations of war"
"1265","Y",357,"Intentional","Legal intervention and operations of war"
"1266","Y",368,"Intentional","Legal intervention and operations of war"
"696","V",29,"Unintentional","Transport accidents"
"713","V",109,"Unintentional","Transport accidents"
"727","V",154,"Unintentional","Transport accidents"
"736","V",183,"Unintentional","Transport accidents"
"738","V",185,"Unintentional","Transport accidents"
"1153","X",220,"Unintentional","Other external causes of accidental injury"
"763","V",255,"Unintentional","Transport accidents"
"1156","X",280,"Unintentional","Other external causes of accidental injury"
"785","V",319,"Unintentional","Transport accidents"
"788","V",340,"Unintentional","Transport accidents"
"789","V",345,"Unintentional","Transport accidents"
"790","V",349,"Unintentional","Transport accidents"
"1162","X",350,"Unintentional","Other external causes of accidental injury"
"793","V",379,"Unintentional","Transport accidents"
"794","V",380,"Unintentional","Transport accidents"
"800","V",398,"Unintentional","Transport accidents"
"802","V",401,"Unintentional","Transport accidents"
"803","V",402,"Unintentional","Transport accidents"
"804","V",403,"Unintentional","Transport accidents"
"1272","Y",411,"Unintentional","Complications of medical and surgical care"
"809","V",419,"Unintentional","Transport accidents"
"1097","W",420,"Unintentional","Other external causes of accidental injury"
"1273","Y",422,"Unintentional","Complications of medical and surgical care"
"1275","Y",427,"Unintentional","Complications of medical and surgical care"
"815","V",434,"Unintentional","Transport accidents"
"1283","Y",446,"Unintentional","Complications of medical and surgical care"
"822","V",447,"Unintentional","Transport accidents"
"827","V",454,"Unintentional","Transport accidents"
"1289","Y",465,"Unintentional","Complications of medical and surgical care"
"833","V",467,"Unintentional","Transport accidents"
"1290","Y",470,"Unintentional","Complications of medical and surgical care"
"1291","Y",471,"Unintentional","Complications of medical and surgical care"
"1292","Y",479,"Unintentional","Complications of medical and surgical care"
"1293","Y",481,"Unintentional","Complications of medical and surgical care"
"1296","Y",490,"Unintentional","Complications of medical and surgical care"
"1297","Y",491,"Unintentional","Complications of medical and surgical care"
"1298","Y",495,"Unintentional","Complications of medical and surgical care"
"859","V",503,"Unintentional","Transport accidents"
"862","V",519,"Unintentional","Transport accidents"
"1300","Y",522,"Unintentional","Complications of medical and surgical care"
"1301","Y",525,"Unintentional","Complications of medical and surgical care"
"866","V",531,"Unintentional","Transport accidents"
"1303","Y",539,"Unintentional","Complications of medical and surgical care"
"873","V",547,"Unintentional","Transport accidents"
"876","V",551,"Unintentional","Transport accidents"
"1105","W",560,"Unintentional","Other external causes of accidental injury"
"881","V",564,"Unintentional","Transport accidents"
"885","V",573,"Unintentional","Transport accidents"
"886","V",574,"Unintentional","Transport accidents"
"1306","Y",576,"Unintentional","Complications of medical and surgical care"
"1108","W",600,"Unintentional","Other external causes of accidental injury"
"1320","Y",624,"Unintentional","Complications of medical and surgical care"
"1322","Y",636,"Unintentional","Complications of medical and surgical care"
"913","V",650,"Unintentional","Transport accidents"
"1325","Y",653,"Unintentional","Complications of medical and surgical care"
"916","V",659,"Unintentional","Transport accidents"
"917","V",671,"Unintentional","Transport accidents"
"921","V",680,"Unintentional","Transport accidents"
"923","V",682,"Unintentional","Transport accidents"
"929","V",690,"Unintentional","Transport accidents"
"935","V",706,"Unintentional","Transport accidents"
"1329","Y",730,"Unintentional","Complications of medical and surgical care"
"1330","Y",750,"Unintentional","Complications of medical and surgical care"
"940","V",775,"Unintentional","Transport accidents"
"941","V",781,"Unintentional","Transport accidents"
"949","V",801,"Unintentional","Transport accidents"
"951","V",805,"Unintentional","Transport accidents"
"952","V",807,"Unintentional","Transport accidents"
"955","V",811,"Unintentional","Transport accidents"
"958","V",814,"Unintentional","Transport accidents"
"964","V",830,"Unintentional","Transport accidents"
"1346","Y",843,"Unintentional","Complications of medical and surgical care"
"987","V",864,"Unintentional","Transport accidents"
"1001","V",882,"Unintentional","Transport accidents"
"1019","V",911,"Unintentional","Transport accidents"
"1021","V",914,"Unintentional","Transport accidents"
"1022","V",917,"Unintentional","Transport accidents"
"1024","V",920,"Unintentional","Transport accidents"
"1033","V",932,"Unintentional","Transport accidents"
"1034","V",938,"Unintentional","Transport accidents"
"1045","V",954,"Unintentional","Transport accidents"
"1049","V",962,"Unintentional","Transport accidents"
"1054","V",978,"Unintentional","Transport accidents"
"1930","Y",362,"Intentional","Legal intervention and operations of war"
"1931","Y",366,"Intentional","Legal intervention and operations of war"
"1865","X",770,"Intentional","Intentional self-harm"
"1363","V",19,"Unintentional","Transport accidents"
"1383","V",100,"Unintentional","Transport accidents"
"1394","V",145,"Unintentional","Transport accidents"
"1399","V",169,"Unintentional","Transport accidents"
"1409","V",190,"Unintentional","Transport accidents"
"1418","V",200,"Unintentional","Transport accidents"
"1419","V",201,"Unintentional","Transport accidents"
"1438","V",261,"Unintentional","Transport accidents"
"1439","V",269,"Unintentional","Transport accidents"
"1446","V",281,"Unintentional","Transport accidents"
"1460","V",301,"Unintentional","Transport accidents"
"1935","Y",406,"Unintentional","Complications of medical and surgical care"
"1939","Y",415,"Unintentional","Complications of medical and surgical care"
"1940","Y",419,"Unintentional","Complications of medical and surgical care"
"1941","Y",420,"Unintentional","Complications of medical and surgical care"
"1943","Y",425,"Unintentional","Complications of medical and surgical care"
"1493","V",460,"Unintentional","Transport accidents"
"1494","V",461,"Unintentional","Transport accidents"
"1960","Y",467,"Unintentional","Complications of medical and surgical care"
"1496","V",469,"Unintentional","Transport accidents"
"1962","Y",472,"Unintentional","Complications of medical and surgical care"
"1965","Y",482,"Unintentional","Complications of medical and surgical care"
"1969","Y",492,"Unintentional","Complications of medical and surgical care"
"1971","Y",498,"Unintentional","Complications of medical and surgical care"
"1972","Y",509,"Unintentional","Complications of medical and surgical care"
"1973","Y",519,"Unintentional","Complications of medical and surgical care"
"1843","X",520,"Unintentional","Other external causes of accidental injury"
"1977","Y",534,"Unintentional","Complications of medical and surgical care"
"1978","Y",536,"Unintentional","Complications of medical and surgical care"
"1532","V",540,"Unintentional","Transport accidents"
"1979","Y",543,"Unintentional","Complications of medical and surgical care"
"1533","V",544,"Unintentional","Transport accidents"
"1982","Y",551,"Unintentional","Complications of medical and surgical care"
"1983","Y",560,"Unintentional","Complications of medical and surgical care"
"1984","Y",563,"Unintentional","Complications of medical and surgical care"
"1542","V",567,"Unintentional","Transport accidents"
"1773","W",580,"Unintentional","Other external causes of accidental injury"
"1560","V",592,"Unintentional","Transport accidents"
"2000","Y",630,"Unintentional","Complications of medical and surgical care"
"2003","Y",649,"Unintentional","Complications of medical and surgical care"
"2004","Y",650,"Unintentional","Complications of medical and surgical care"
"2008","Y",703,"Unintentional","Complications of medical and surgical care"
"1592","V",730,"Unintentional","Transport accidents"
"2009","Y",732,"Unintentional","Complications of medical and surgical care"
"1599","V",782,"Unintentional","Transport accidents"
"1600","V",783,"Unintentional","Transport accidents"
"1603","V",789,"Unintentional","Transport accidents"
"1604","V",792,"Unintentional","Transport accidents"
"1625","V",828,"Unintentional","Transport accidents"
"1626","V",829,"Unintentional","Transport accidents"
"1633","V",841,"Unintentional","Transport accidents"
"1642","V",851,"Unintentional","Transport accidents"
"1675","V",900,"Unintentional","Transport accidents"
"1697","V",931,"Unintentional","Transport accidents"
"1700","V",936,"Unintentional","Transport accidents"
"1702","V",941,"Unintentional","Transport accidents"
"2585","Y",60,"Intentional","Assault"
"2566","X",870,"Intentional","Assault"
"2064","V",112,"Unintentional","Transport accidents"
"2075","V",141,"Unintentional","Transport accidents"
"2104","V",210,"Unintentional","Transport accidents"
"2114","V",241,"Unintentional","Transport accidents"
"2120","V",260,"Unintentional","Transport accidents"
"2122","V",265,"Unintentional","Transport accidents"
"2143","V",302,"Unintentional","Transport accidents"
"2146","V",353,"Unintentional","Transport accidents"
"2147","V",355,"Unintentional","Transport accidents"
"2148","V",356,"Unintentional","Transport accidents"
"2159","V",415,"Unintentional","Transport accidents"
"2632","Y",418,"Unintentional","Complications of medical and surgical care"
"2171","V",444,"Unintentional","Transport accidents"
"2646","Y",464,"Unintentional","Complications of medical and surgical care"
"2212","V",515,"Unintentional","Transport accidents"
"2656","Y",523,"Unintentional","Complications of medical and surgical care"
"2214","V",526,"Unintentional","Transport accidents"
"2657","Y",527,"Unintentional","Complications of medical and surgical care"
"2220","V",543,"Unintentional","Transport accidents"
"2224","V",554,"Unintentional","Transport accidents"
"2659","Y",557,"Unintentional","Complications of medical and surgical care"
"2661","Y",570,"Unintentional","Complications of medical and surgical care"
"2665","Y",590,"Unintentional","Complications of medical and surgical care"
"2677","Y",614,"Unintentional","Complications of medical and surgical care"
"2258","V",644,"Unintentional","Transport accidents"
"2683","Y",651,"Unintentional","Complications of medical and surgical care"
"2262","V",653,"Unintentional","Transport accidents"
"2266","V",665,"Unintentional","Transport accidents"
"2267","V",674,"Unintentional","Transport accidents"
"2270","V",677,"Unintentional","Transport accidents"
"2278","V",692,"Unintentional","Transport accidents"
"2687","Y",741,"Unintentional","Complications of medical and surgical care"
"2292","V",779,"Unintentional","Transport accidents"
"2303","V",802,"Unintentional","Transport accidents"
"2316","V",821,"Unintentional","Transport accidents"
"2318","V",827,"Unintentional","Transport accidents"
"2340","V",856,"Unintentional","Transport accidents"
"2360","V",880,"Unintentional","Transport accidents"
"2361","V",881,"Unintentional","Transport accidents"
"2379","V",912,"Unintentional","Transport accidents"
"2383","V",916,"Unintentional","Transport accidents"
"2399","V",944,"Unintentional","Transport accidents"
"2736","V",104,"Unintentional","Transport accidents"
"2774","V",222,"Unintentional","Transport accidents"
"2779","V",232,"Unintentional","Transport accidents"
"2783","V",242,"Unintentional","Transport accidents"
"2799","V",283,"Unintentional","Transport accidents"
"2812","V",325,"Unintentional","Transport accidents"
"2816","V",376,"Unintentional","Transport accidents"
"3296","Y",421,"Unintentional","Complications of medical and surgical care"
"3298","Y",424,"Unintentional","Complications of medical and surgical care"
"2835","V",432,"Unintentional","Transport accidents"
"3303","Y",435,"Unintentional","Complications of medical and surgical care"
"3304","Y",439,"Unintentional","Complications of medical and surgical care"
"3309","Y",447,"Unintentional","Complications of medical and surgical care"
"2851","V",464,"Unintentional","Transport accidents"
"2882","V",501,"Unintentional","Transport accidents"
"3133","W",520,"Unintentional","Other external causes of accidental injury"
"2894","V",537,"Unintentional","Transport accidents"
"2906","V",566,"Unintentional","Transport accidents"
"2913","V",577,"Unintentional","Transport accidents"
"2932","V",602,"Unintentional","Transport accidents"
"3349","Y",634,"Unintentional","Complications of medical and surgical care"
"3350","Y",641,"Unintentional","Complications of medical and surgical care"
"2937","V",643,"Unintentional","Transport accidents"
"2942","V",651,"Unintentional","Transport accidents"
"2965","V",771,"Unintentional","Transport accidents"
"3358","Y",822,"Unintentional","Complications of medical and surgical care"
"3948","Y",364,"Intentional","Legal intervention and operations of war"
"3447","V",219,"Unintentional","Transport accidents"
"3449","V",223,"Unintentional","Transport accidents"
"3461","V",251,"Unintentional","Transport accidents"
"3489","V",329,"Unintentional","Transport accidents"
"3497","V",404,"Unintentional","Transport accidents"
"3954","Y",412,"Unintentional","Complications of medical and surgical care"
"3977","Y",478,"Unintentional","Complications of medical and surgical care"
"3987","Y",526,"Unintentional","Complications of medical and surgical care"
"3989","Y",535,"Unintentional","Complications of medical and surgical care"
"3992","Y",552,"Unintentional","Complications of medical and surgical care"
"4000","Y",586,"Unintentional","Complications of medical and surgical care"
"3592","V",606,"Unintentional","Transport accidents"
"4011","Y",615,"Unintentional","Complications of medical and surgical care"
"3593","V",634,"Unintentional","Transport accidents"
"4014","Y",638,"Unintentional","Complications of medical and surgical care"
"3625","V",770,"Unintentional","Transport accidents"
"3631","V",791,"Unintentional","Transport accidents"
"3634","V",795,"Unintentional","Transport accidents"
"3669","V",854,"Unintentional","Transport accidents"
"3724","V",935,"Unintentional","Transport accidents"
"4073","V",102,"Unintentional","Transport accidents"
"4111","V",202,"Unintentional","Transport accidents"
"4135","V",273,"Unintentional","Transport accidents"
"4615","Y",414,"Unintentional","Complications of medical and surgical care"
"4165","V",427,"Unintentional","Transport accidents"
"4620","Y",428,"Unintentional","Complications of medical and surgical care"
"4170","V",433,"Unintentional","Transport accidents"
"4186","V",463,"Unintentional","Transport accidents"
"4645","Y",499,"Unintentional","Complications of medical and surgical care"
"4646","Y",513,"Unintentional","Complications of medical and surgical care"
"4256","V",601,"Unintentional","Transport accidents"
"4257","V",604,"Unintentional","Transport accidents"
"4260","V",609,"Unintentional","Transport accidents"
"4669","Y",612,"Unintentional","Complications of medical and surgical care"
"4269","V",647,"Unintentional","Transport accidents"
"4679","Y",712,"Unintentional","Complications of medical and surgical care"
"4680","Y",801,"Unintentional","Complications of medical and surgical care"
"4682","Y",820,"Unintentional","Complications of medical and surgical care"
"4743","V",133,"Unintentional","Transport accidents"
"4751","V",151,"Unintentional","Transport accidents"
"4754","V",162,"Unintentional","Transport accidents"
"4792","V",250,"Unintentional","Transport accidents"
"5184","X",260,"Unintentional","Other external causes of accidental injury"
"4817","V",305,"Unintentional","Transport accidents"
"4819","V",334,"Unintentional","Transport accidents"
"4827","V",395,"Unintentional","Transport accidents"
"4834","V",420,"Unintentional","Transport accidents"
"4847","V",443,"Unintentional","Transport accidents"
"5203","X",510,"Unintentional","Other external causes of accidental injury"
"5322","Y",521,"Unintentional","Complications of medical and surgical care"
"4895","V",541,"Unintentional","Transport accidents"
"5341","Y",626,"Unintentional","Complications of medical and surgical care"
"4968","V",769,"Unintentional","Transport accidents"
"5349","Y",808,"Unintentional","Complications of medical and surgical care"
"5949","Y",367,"Intentional","Legal intervention and operations of war"
"5417","V",152,"Unintentional","Transport accidents"
"5453","V",243,"Unintentional","Transport accidents"
"5457","V",252,"Unintentional","Transport accidents"
"5482","V",320,"Unintentional","Transport accidents"
"5486","V",359,"Unintentional","Transport accidents"
"5953","Y",407,"Unintentional","Complications of medical and surgical care"
"5548","V",516,"Unintentional","Transport accidents"
"5981","Y",517,"Unintentional","Complications of medical and surgical care"
"5991","Y",549,"Unintentional","Complications of medical and surgical care"
"5994","Y",574,"Unintentional","Complications of medical and surgical care"
"5999","Y",584,"Unintentional","Complications of medical and surgical care"
"6000","Y",598,"Unintentional","Complications of medical and surgical care"
"5868","X",599,"Unintentional","Other external causes of accidental injury"
"5596","V",629,"Unintentional","Transport accidents"
"5606","V",660,"Unintentional","Transport accidents"
"5608","V",666,"Unintentional","Transport accidents"
"5623","V",691,"Unintentional","Transport accidents"
"6158","V",346,"Unintentional","Transport accidents"
"6159","V",365,"Unintentional","Transport accidents"
"6161","V",384,"Unintentional","Transport accidents"
"6612","Y",404,"Unintentional","Complications of medical and surgical care"
"6447","W",460,"Unintentional","Other external causes of accidental injury"
"6638","Y",468,"Unintentional","Complications of medical and surgical care"
"6651","Y",531,"Unintentional","Complications of medical and surgical care"
"6653","Y",550,"Unintentional","Complications of medical and surgical care"
"6262","V",607,"Unintentional","Transport accidents"
"6666","Y",617,"Unintentional","Complications of medical and surgical care"
"6266","V",641,"Unintentional","Transport accidents"
"6272","V",654,"Unintentional","Transport accidents"
"6293","V",726,"Unintentional","Transport accidents"
"6298","V",780,"Unintentional","Transport accidents"
"6675","Y",802,"Unintentional","Complications of medical and surgical care"
"6676","Y",812,"Unintentional","Complications of medical and surgical care"
"6314","V",825,"Unintentional","Transport accidents"
"6476","W",890,"Unintentional","Other external causes of accidental injury"
"6740","V",143,"Unintentional","Transport accidents"
"6746","V",155,"Unintentional","Transport accidents"
"6748","V",164,"Unintentional","Transport accidents"
"6819","V",424,"Unintentional","Transport accidents"
"7289","Y",544,"Unintentional","Complications of medical and surgical care"
"7293","Y",553,"Unintentional","Complications of medical and surgical care"
"7300","Y",577,"Unintentional","Complications of medical and surgical care"
"7316","Y",622,"Unintentional","Complications of medical and surgical care"
"7320","Y",660,"Unintentional","Complications of medical and surgical care"
"6997","V",883,"Unintentional","Transport accidents"
"7032","V",942,"Unintentional","Transport accidents"
"7450","V",396,"Unintentional","Transport accidents"
"7455","V",416,"Unintentional","Transport accidents"
"7911","Y",429,"Unintentional","Complications of medical and surgical care"
"7921","Y",454,"Unintentional","Complications of medical and surgical care"
"7946","Y",554,"Unintentional","Complications of medical and surgical care"
"7556","V",669,"Unintentional","Transport accidents"
"7967","Y",743,"Unintentional","Complications of medical and surgical care"
"7993","Y",882,"Unintentional","Sequelae of external causes of morbidity and mortality"
"7673","V",940,"Unintentional","Transport accidents"
"8063","V",233,"Unintentional","Transport accidents"
"8067","V",240,"Unintentional","Transport accidents"
"8552","Y",461,"Unintentional","Complications of medical and surgical care"
"8565","Y",515,"Unintentional","Complications of medical and surgical care"
"8568","Y",533,"Unintentional","Complications of medical and surgical care"
"8572","Y",567,"Unintentional","Complications of medical and surgical care"
"8587","Y",631,"Unintentional","Complications of medical and surgical care"
"8588","Y",633,"Unintentional","Complications of medical and surgical care"
"8218","V",773,"Unintentional","Transport accidents"
"8225","V",790,"Unintentional","Transport accidents"
"8247","V",826,"Unintentional","Transport accidents"
"8718","V",309,"Unintentional","Transport accidents"
"9152","Y",405,"Unintentional","Complications of medical and surgical care"
"9195","Y",555,"Unintentional","Complications of medical and surgical care"
"9321","V",263,"Unintentional","Transport accidents"
"9344","V",370,"Unintentional","Transport accidents"
"9348","V",400,"Unintentional","Transport accidents"
"9767","Y",402,"Unintentional","Complications of medical and surgical care"
"9779","Y",441,"Unintentional","Complications of medical and surgical care"
"9395","V",504,"Unintentional","Transport accidents"
"9794","Y",518,"Unintentional","Complications of medical and surgical care"
"9813","Y",625,"Unintentional","Complications of medical and surgical care"
"9815","Y",648,"Unintentional","Complications of medical and surgical care"
