"","cause.group","letter","sex","n","percentage","age.long","agegroup","description","sex.long"
"347","Other","L",1,346,0.8,"55-64",55,"Skin/Subcutaneous","Men"
"348","Other","L",2,56,0.8,"35-44",35,"Skin/Subcutaneous","Women"
"349","Other","L",2,290,1,"55-64",55,"Skin/Subcutaneous","Women"
"350","Other","L",2,127,0.7,"45-54",45,"Skin/Subcutaneous","Women"
"351","Other","M",2,10,0.1,"0-4",0,"Musculoskeletal/Connective Tissue","Women"
"352","Other","M",1,1165,1.8,"75-84",75,"Musculoskeletal/Connective Tissue","Men"
"353","Other","M",2,8802,3.1,"All ages",-1,"Musculoskeletal/Connective Tissue","Women"
"354","Other","M",2,20,3.1,"5-14",5,"Musculoskeletal/Connective Tissue","Women"
"355","Other","M",1,11,0.1,"0-4",0,"Musculoskeletal/Connective Tissue","Men"
"356","Other","M",1,1083,1.8,"85+",85,"Musculoskeletal/Connective Tissue","Men"
"357","Other","M",2,2106,2.8,"75-84",75,"Musculoskeletal/Connective Tissue","Women"
"358","Other","M",1,14,1.8,"5-14",5,"Musculoskeletal/Connective Tissue","Men"
"359","Other","M",1,78,1.7,"25-34",25,"Musculoskeletal/Connective Tissue","Men"
"360","Other","M",1,395,1.5,"45-54",45,"Musculoskeletal/Connective Tissue","Men"
"361","Other","M",1,53,2.5,"15-24",15,"Musculoskeletal/Connective Tissue","Men"
"362","Other","M",1,962,1.9,"65-74",65,"Musculoskeletal/Connective Tissue","Men"
"363","Other","M",1,148,1.6,"35-44",35,"Musculoskeletal/Connective Tissue","Men"
"364","Other","M",2,586,3.5,"45-54",45,"Musculoskeletal/Connective Tissue","Women"
"365","Other","M",2,81,5.4,"15-24",15,"Musculoskeletal/Connective Tissue","Women"
"366","Other","M",2,1590,3.7,"65-74",65,"Musculoskeletal/Connective Tissue","Women"
"367","Other","M",1,4611,1.7,"All ages",-1,"Musculoskeletal/Connective Tissue","Men"
"368","Other","M",2,1099,3.7,"55-64",55,"Musculoskeletal/Connective Tissue","Women"
"369","Other","M",1,702,1.6,"55-64",55,"Musculoskeletal/Connective Tissue","Men"
"370","Other","M",2,261,3.9,"35-44",35,"Musculoskeletal/Connective Tissue","Women"
"371","Other","M",2,2867,2.8,"85+",85,"Musculoskeletal/Connective Tissue","Women"
"372","Other","M",2,182,5.1,"25-34",25,"Musculoskeletal/Connective Tissue","Women"
"373","Other","N",1,67,0.6,"0-4",0,"Genitourinary","Men"
"374","Other","N",2,38,2.5,"15-24",15,"Genitourinary","Women"
"375","Other","N",1,8175,12.3,"75-84",75,"Genitourinary","Men"
"376","Other","N",2,30143,10.5,"All ages",-1,"Genitourinary","Women"
"377","Other","N",2,44,0.5,"0-4",0,"Genitourinary","Women"
"378","Other","N",2,1135,6.7,"45-54",45,"Genitourinary","Women"
"379","Other","N",1,8818,14.4,"85+",85,"Genitourinary","Men"
"380","Other","N",2,5167,12,"65-74",65,"Genitourinary","Women"
"381","Other","N",1,27654,10,"All ages",-1,"Genitourinary","Men"
"382","Other","N",1,427,4.5,"35-44",35,"Genitourinary","Men"
"383","Other","N",2,9,1.4,"5-14",5,"Genitourinary","Women"
"384","Other","N",1,1374,5.3,"45-54",45,"Genitourinary","Men"
"385","Other","N",1,5289,10.7,"65-74",65,"Genitourinary","Men"
"386","Other","N",1,11,1.4,"5-14",5,"Genitourinary","Men"
"387","Other","N",2,11955,11.7,"85+",85,"Genitourinary","Women"
"388","Other","N",1,39,1.8,"15-24",15,"Genitourinary","Men"
"389","Other","N",2,167,4.7,"25-34",25,"Genitourinary","Women"
"390","Other","N",2,8496,11.3,"75-84",75,"Genitourinary","Women"
"391","Other","N",2,2724,9.1,"55-64",55,"Genitourinary","Women"
"392","Other","N",1,165,3.6,"25-34",25,"Genitourinary","Men"
"393","Other","N",2,408,6,"35-44",35,"Genitourinary","Women"
"394","Other","N",1,3289,7.4,"55-64",55,"Genitourinary","Men"
"395","Other","O",2,206,1.2,"45-54",45,"Pregnancy/Childbirth/Puerperium","Women"
"396","Other","O",2,2,0,"65-74",65,"Pregnancy/Childbirth/Puerperium","Women"
"397","Other","O",2,9,0,"55-64",55,"Pregnancy/Childbirth/Puerperium","Women"
"398","Other","O",2,438,12.2,"25-34",25,"Pregnancy/Childbirth/Puerperium","Women"
"399","Other","O",2,178,11.8,"15-24",15,"Pregnancy/Childbirth/Puerperium","Women"
"400","Other","O",2,301,4.5,"35-44",35,"Pregnancy/Childbirth/Puerperium","Women"
"401","Other","O",2,1134,0.4,"All ages",-1,"Pregnancy/Childbirth/Puerperium","Women"
"402","Other","P",2,4765,1.7,"All ages",-1,"Perinatal","Women"
"403","Other","P",2,2,0,"35-44",35,"Perinatal","Women"
"404","Other","P",2,4725,52,"0-4",0,"Perinatal","Women"
"405","Other","P",1,17,0.8,"15-24",15,"Perinatal","Men"
"406","Other","P",1,5910,52.4,"0-4",0,"Perinatal","Men"
"407","Other","P",2,4,0,"65-74",65,"Perinatal","Women"
"408","Other","P",2,16,2.5,"5-14",5,"Perinatal","Women"
"409","Other","P",1,5954,2.2,"All ages",-1,"Perinatal","Men"
"410","Other","P",2,6,0.2,"25-34",25,"Perinatal","Women"
"411","Other","P",2,3,0,"45-54",45,"Perinatal","Women"
"412","Other","P",1,17,2.2,"5-14",5,"Perinatal","Men"
"413","Other","P",2,1,0,"55-64",55,"Perinatal","Women"
"414","Other","P",1,1,0,"85+",85,"Perinatal","Men"
"415","Other","P",2,6,0.4,"15-24",15,"Perinatal","Women"
"416","Other","P",1,1,0,"75-84",75,"Perinatal","Men"
"417","Other","P",2,1,0,"75-84",75,"Perinatal","Women"
"418","Other","P",2,1,0,"85+",85,"Perinatal","Women"
"419","Other","P",1,4,0.1,"25-34",25,"Perinatal","Men"
"420","Other","P",1,3,0,"45-54",45,"Perinatal","Men"
"421","Other","P",1,1,0,"55-64",55,"Perinatal","Men"
"422","Other","Q",1,158,0.2,"75-84",75,"Malformations/Deformations/Chromosomal","Men"
"423","Other","Q",2,164,25.3,"5-14",5,"Malformations/Deformations/Chromosomal","Women"
"424","Other","Q",1,251,2.7,"35-44",35,"Malformations/Deformations/Chromosomal","Men"
"425","Other","Q",1,2735,24.3,"0-4",0,"Malformations/Deformations/Chromosomal","Men"
"426","Other","Q",2,4488,1.6,"All ages",-1,"Malformations/Deformations/Chromosomal","Women"
"427","Other","Q",1,223,10.4,"15-24",15,"Malformations/Deformations/Chromosomal","Men"
"428","Other","Q",1,4984,1.8,"All ages",-1,"Malformations/Deformations/Chromosomal","Men"
"429","Other","Q",2,190,2.8,"35-44",35,"Malformations/Deformations/Chromosomal","Women"
"430","Other","Q",2,248,0.6,"65-74",65,"Malformations/Deformations/Chromosomal","Women"
"431","Other","Q",1,224,0.5,"65-74",65,"Malformations/Deformations/Chromosomal","Men"
"432","Other","Q",2,183,5.1,"25-34",25,"Malformations/Deformations/Chromosomal","Women"
"433","Other","Q",2,328,1.9,"45-54",45,"Malformations/Deformations/Chromosomal","Women"
"434","Other","Q",2,139,9.2,"15-24",15,"Malformations/Deformations/Chromosomal","Women"
"435","Other","Q",2,431,1.4,"55-64",55,"Malformations/Deformations/Chromosomal","Women"
"436","Other","Q",2,2402,26.4,"0-4",0,"Malformations/Deformations/Chromosomal","Women"
"437","Other","Q",1,127,0.2,"85+",85,"Malformations/Deformations/Chromosomal","Men"
"438","Other","Q",1,382,1.5,"45-54",45,"Malformations/Deformations/Chromosomal","Men"
"439","Other","Q",1,176,22.9,"5-14",5,"Malformations/Deformations/Chromosomal","Men"
"440","Other","Q",2,201,0.2,"85+",85,"Malformations/Deformations/Chromosomal","Women"
"441","Other","Q",1,240,5.2,"25-34",25,"Malformations/Deformations/Chromosomal","Men"
"442","Other","Q",2,202,0.3,"75-84",75,"Malformations/Deformations/Chromosomal","Women"
"443","Other","Q",1,468,1.1,"55-64",55,"Malformations/Deformations/Chromosomal","Men"
"444","Other","R",2,494,7.3,"35-44",35,"Abnormal Clinical/Lab","Women"
"445","Other","R",1,3826,6.2,"85+",85,"Abnormal Clinical/Lab","Men"
"446","Other","R",1,1787,3.6,"65-74",65,"Abnormal Clinical/Lab","Men"
"447","Other","R",2,198,13.2,"15-24",15,"Abnormal Clinical/Lab","Women"
"448","Other","R",1,713,7.6,"35-44",35,"Abnormal Clinical/Lab","Men"
"449","Other","R",1,56,7.3,"5-14",5,"Abnormal Clinical/Lab","Men"
"450","Other","R",2,359,10,"25-34",25,"Abnormal Clinical/Lab","Women"
"451","Other","R",2,8224,8.1,"85+",85,"Abnormal Clinical/Lab","Women"
"452","Other","R",1,389,18.2,"15-24",15,"Abnormal Clinical/Lab","Men"
"453","Other","R",2,1103,3.7,"55-64",55,"Abnormal Clinical/Lab","Women"
"454","Other","R",2,798,4.7,"45-54",45,"Abnormal Clinical/Lab","Women"
"455","Other","R",1,634,13.7,"25-34",25,"Abnormal Clinical/Lab","Men"
"456","Other","R",1,1199,4.6,"45-54",45,"Abnormal Clinical/Lab","Men"
"457","Other","R",2,16860,5.8,"All ages",-1,"Abnormal Clinical/Lab","Women"
"458","Other","R",1,1637,3.7,"55-64",55,"Abnormal Clinical/Lab","Men"
"459","Other","R",2,37,5.7,"5-14",5,"Abnormal Clinical/Lab","Women"
"460","Other","R",2,1136,12.5,"0-4",0,"Abnormal Clinical/Lab","Women"
"461","Other","R",1,14232,5.2,"All ages",-1,"Abnormal Clinical/Lab","Men"
"462","Other","R",1,1517,13.5,"0-4",0,"Abnormal Clinical/Lab","Men"
"463","Other","R",2,1454,3.4,"65-74",65,"Abnormal Clinical/Lab","Women"
"464","Other","R",1,2474,3.7,"75-84",75,"Abnormal Clinical/Lab","Men"
"465","Other","R",2,3057,4.1,"75-84",75,"Abnormal Clinical/Lab","Women"
"466","Other","U",1,1,0,"25-34",25,"Unknown","Men"
"467","Other","U",1,1,0.1,"5-14",5,"Unknown","Men"
"468","Other","U",2,1,0,"All ages",-1,"Unknown","Women"
"469","Other","U",2,1,0,"25-34",25,"Unknown","Women"
"470","Other","U",1,2,0,"All ages",-1,"Unknown","Men"
